Date,Open,High,Low,Close,Adj Close,Volume
2018-10-03,577.943909,582.969543,560.982544,566.636353,427.750122,12412936
2018-10-04,577.943909,581.084900,560.354309,560.354309,423.007874,13700085
2018-10-05,550.931335,559.097900,505.072723,506.329132,382.224579,22490935
2018-10-08,506.329132,510.098328,474.919128,507.585541,383.173035,27149370
2018-10-09,515.123901,538.367310,508.213745,532.085327,401.667786,20262355
2018-10-11,483.085724,503.188141,483.085724,487.483124,367.997864,21867104
2018-10-12,491.252319,533.341736,489.995941,521.405945,393.605957,20611859
2018-10-15,521.405945,538.367310,513.867554,515.123901,388.863708,16887061
2018-10-16,517.636719,536.482727,515.752136,526.431519,397.399719,15081976
2018-10-17,559.097900,563.495300,524.546936,525.175110,396.451294,19429826
2018-10-18,533.969910,538.995544,526.431519,529.572510,399.770874,13492574
2018-10-19,508.841919,512.611145,488.739532,495.021545,373.688568,20948203
2018-10-22,477.431946,495.649719,471.149933,489.995941,369.894775,15315504
2018-10-23,487.483124,494.393341,459.842346,459.842346,347.132019,18625019
2018-10-24,462.355133,468.637146,438.483551,438.483551,331.008392,23018276
2018-10-25,412.099152,415.240143,396.394135,396.394135,299.235413,19896471
2018-10-26,417.124756,417.124756,393.881348,407.073547,307.297211,26186875
2018-10-29,407.073547,417.124756,395.765961,402.047943,303.503387,22178436
2018-10-30,397.022339,397.650543,374.407135,374.407135,282.637543,22979854
2018-10-31,383.201935,408.958130,383.201935,396.394135,299.235413,26474609
2018-11-01,402.047943,435.970734,400.791534,435.970734,329.111481,26861455
2018-11-02,459.214142,478.688324,422.150330,434.086151,327.688812,38115919
2018-11-05,427.175934,434.086151,417.752930,427.175934,322.472382,17639569
2018-11-06,430.945129,435.970734,385.086548,386.971161,292.122040,27472820
2018-11-07,388.227539,421.522156,378.176361,415.868347,313.936310,27703115
2018-11-08,437.227142,439.739929,405.817139,407.073547,307.297211,22772535
2018-11-09,409.586334,415.868347,395.137756,413.355530,312.039398,21933605
2018-11-12,385.714752,393.881348,381.945557,389.483948,294.018921,17037719
2018-11-13,373.778961,390.740356,366.868744,390.740356,294.967377,17008762
2018-11-14,392.624939,397.650543,384.458344,384.458344,290.225098,12647131
2018-11-15,389.483948,391.996735,381.945557,391.996735,295.915802,9797912
2018-11-16,398.278748,408.329956,389.483948,389.483948,294.018921,16774205
2018-11-19,389.483948,398.906952,387.599335,398.906952,301.132294,8870208
2018-11-20,393.253143,405.817139,393.253143,403.304352,304.451843,13453259
2018-11-21,400.163361,427.175934,400.163361,427.175934,322.472382,20757492
2018-11-22,433.457947,441.624542,413.983734,417.124756,314.884796,21700514
2018-11-23,418.381134,423.406738,399.535156,400.791534,302.554932,14812723
2018-11-26,407.073547,412.099152,400.791534,410.842743,310.142517,11270568
2018-11-27,411.470947,432.201538,410.214539,427.175934,322.472382,16376707
